Username,Name,Followers,Following,Likes,Videos,Avg. Saves,Avg. Comments,Avg. Likes,Avg. Views,Avg. Shares,Avg. Views (4-12),Saves,Comments,Likes,Views,Shares
mrbeast,MrBeast,98100000,350,"[940000, 4600000, 2800000, 2800000, 3500000, 1100000, 2600000, 540700, 1000000]",352,131433,24112,2208966,24800000,55875,24800000,"[66600, 350200, 139100, 197100, 150800, 64800, 157000, 26500, 30800]","[24500, 17700, 54900, 30800, 31400, 15400, 22100, 12300, 7909]","[940000, 4600000, 2800000, 2800000, 3500000, 1100000, 2600000, 540700, 1000000]","[10900000, 28100000, 60300000, 26400000, 31200000, 14100000, 25700000, 10300000, 16200000]","[28700, 99600, 55500, 266200, 15000, 11600, 18400, 3661, 4219]"
therock,The Rock,74600000,0,"[3500000, 37200, 39500, 88600, 49800, 2700000, 49500, 392100, 528100]",268,52186,6907,820533,5404122,73324,5404122,"[172900, 1204, 1183, 3213, 2297, 246000, 2284, 13200, 27400]","[19400, 598, 745, 1698, 2673, 24500, 1169, 6859, 4527]","[3500000, 37200, 39500, 88600, 49800, 2700000, 49500, 392100, 528100]","[20500000, 798700, 642200, 1300000, 851400, 15000000, 744800, 4000000, 4800000]","[268100, 192, 273, 968, 545, 365700, 1073, 5369, 17700]"
